Document,Author,Page,Date,Type,Subject,Comment
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,30,2026-02-23 16:26:06,highlight,Comment on Text,"For the ecological stability section, I'm surprised to not see a few fisheries species singled out and their biomass trends looked at. This could also fall under the previous section for fisheries though"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,30,2026-02-23 16:36:52,highlight,Comment on Text,"Extra space before the period. Also maybe this sentence can be cleaned up? Measures of the community show changes in the community? Could just say the shift is occurring, the measuring is implied"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,30,2026-02-23 16:38:14,text,Sticky Note,Values of what?
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,30,2026-02-23 16:41:48,highlight,Comment on Text,Curious why in the economics section things were considered/plotted based on 1982 values but here are based on long term means
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,31,2026-02-23 16:44:02,highlight,Comment on Text,I don't see this plot referenced anywhere. And its a lot to take in without a whole description of the PCA analysis. Consider deleting
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,32,2026-02-23 17:00:05,text,Sticky Note,Very curious how the metrics in fig 30-31 are being calculated. If these are weighted averages based on species in the bottom trawl? And how growth rate is even calculated by a year of data in the bottom trawl
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,33,2026-02-23 17:29:04,highlight,Comment on Text,"This is a little clunky and confusing. Especially the use of ""supporting"" which when you break it down, can sorta make sense - the species are supporting the diversity/range in the 1990s. But the way this is written out in clauses sorta jumbles the message. Consider just saying like, the same amount of diversity as in the 1990s or something like that"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,33,2026-02-23 17:30:01,highlight,Comment on Text,delete comma
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,34,2026-02-19 08:54:39,highlight,Comment on Text,"According to Figure 34, it seems like the northward trend is not significant (no orange line) and therefore should not be mentioned here."
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,34,2026-02-19 09:50:44,highlight,Comment on Text,"For species that extend past the BTS footprint and well into Canada (ex: mackerel are common in Newfoundland), is there a way we can get at this potential shift in availability?"
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,36,2026-02-19 09:07:52,highlight,Comment on Text,"Why isn't there a figure for small copepods, when the trends are signficant?"
SOE2026_MAFMC_IR_Final_commented.xfdf,Harvey Walsh,36,2026-02-27 16:00:12,highlight,Comment on Text,"Was this index calculated using multiple taxon? Previously, it was only Calanus finmarchicus abundance."
SOE2026_MAFMC_IR_Final_commented.xfdf,Harvey Walsh,37,2026-02-27 15:45:01,strikeout,Cross-Out,No trend shown in the graph
SOE2026_MAFMC_IR_Final_commented.xfdf,Harvey Walsh,37,2026-02-27 15:57:56,highlight,Comment on Text,Suggest stating the taxon name Calanus finmarchicus
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,38,2026-02-19 09:09:34,highlight,Comment on Text,"Figures should be included in the order they are cited, however, the citations jump from Figure 38 to 41"
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,38,2026-02-19 09:11:15,highlight,Comment on Text,Need to add citations for Figures 39 and 40 here
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,38,2026-02-19 09:26:05,highlight,Comment on Text,I am not convinced this statement holds for spring and summer (Fig 39)
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,38,2026-02-19 09:26:39,highlight,Comment on Text,I am also not convinced this holds for the fall (Figure 40)
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,38,2026-03-02 07:35:31,highlight,Comment on Text,"long-term vs. short-termcheck throughout"
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,38,2026-03-02 07:35:56,highlight,Comment on Text,"in-text references for Figures 39, 40?check throughout"
SOE2026_MAFMC_IR_Final_commented.xfdf,paula.fratantoni,38,2026-03-05 10:41:36,caret,Inserted Text,(Fig. 39)
SOE2026_MAFMC_IR_Final_commented.xfdf,paula.fratantoni,38,2026-03-05 10:42:02,caret,Inserted Text,(Fig. 40)
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,39,2026-02-19 09:31:39,highlight,Comment on Text,"This is not a complete sentence as written, recommend deleting the ""As"".  Also, if I am counting the years correctly, it looks like the shift occurred in 2024 and 2025, not 2023"
SOE2026_MAFMC_IR_Final_commented.xfdf,paula.fratantoni,39,2026-03-05 10:09:17,highlight,Comment on Text,"I suggest rewording this as below.  Since we are not showing a figure demonstrating the decreased stability of the GS, I suggest we remove that piece. 

""The Gulf Stream has been shifted north of its long-term mean position over much of the last decade (Figure 42).  However, since 2023 the Gulf Stream has shifted southward and remained close to its mean position. With this shift, the supply of Labrador Slope Water has increased along the Northwest Atlantic Shelf.  These changes are linked to the cooler water temperatures observed in 2024 and 2025 and shifts in the composition of source waters entering the Gulf of Maine through the Northeast Channel (see 2025 Highlights)"""
SOE2026_MAFMC_IR_Final_commented.xfdf,paula.fratantoni,39,2026-03-05 10:15:18,highlight,Comment on Text,are we no longer showing in situ observed bottom temperature time series as submitted each year?
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,40,2026-02-19 09:30:00,text,Comment on Text,Add minor tick marks to make trend interpretation easier
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,40,2026-02-19 09:35:20,highlight,Comment on Text,"According to figure 43, this should be both 2024 and 2025"
SOE2026_MAFMC_IR_Final_commented.xfdf,Cameron Hodgdon,42,2026-02-25 14:20:57,highlight,Comment on Text,I would cite Fig 44 here again so readers know the Fig is not just for haddock.
SOE2026_MAFMC_IR_Final_commented.xfdf,Cameron Hodgdon,42,2026-02-25 14:21:13,highlight,Comment on Text,"""peaked"" as you're referencing the earlier bit of the time series here"
SOE2026_MAFMC_IR_Final_commented.xfdf,Cameron Hodgdon,42,2026-02-25 14:21:33,highlight,Comment on Text,"I'm quite cautious stating this with certainty for SNEMA yellowtail- this observation could be an artifact of the extremely low sample sizes in the recent time series or the truncated spatial area of survey catches moving northward. Maybe a change of wording here using ""could have also shifted"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Cameron Hodgdon,42,2026-02-25 15:03:15,text,Sticky Note,Why the separate trend of the recent series for Haddock GB?  How were these years decided as a recent series?
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,42,2026-03-02 07:42:14,caret,Inserted Text,"long-term increasing trends (orange), long-term decreasing trends (light purple), and short-term decreasing trends (dark purple)"
SOE2026_MAFMC_IR_Final_commented.xfdf,Cameron Hodgdon,43,2026-02-25 14:22:44,highlight,Comment on Text,"""whales"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Cameron Hodgdon,43,2026-02-25 14:23:09,highlight,Comment on Text,I would state how long. Years? Decades?
SOE2026_MAFMC_IR_Final_commented.xfdf,Cameron Hodgdon,43,2026-02-25 14:24:01,highlight,Comment on Text,Do you mean to say that each species' patterns are changing? It currently reads that the patterns across species are different from each other.
SOE2026_MAFMC_IR_Final_commented.xfdf,Cameron Hodgdon,43,2026-02-25 15:05:26,highlight,Comment on Text,"""have"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,43,2026-03-02 07:42:47,caret,Inserted Text,b
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,43,2026-03-02 07:48:07,highlight,Comment on Text,"references to trends in figure captions is inconsistent and imprecise throughout, which will make it unnecessarily challenging for reader comprehension"
SOE2026_MAFMC_IR_Final_commented.xfdf,Cameron Hodgdon,44,2026-02-25 14:39:21,highlight,Comment on Text,"This is true, but it may also be worth noting here than the 2025 management track stock assessment for SNEMA yellowtail flounder has included an effect of the Gulf Stream Index on recruitment (outperformed the cold pool index in that assessment)."
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,44,2026-03-02 07:46:06,caret,Inserted Text,the
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,45,2026-03-02 07:49:51,highlight,Comment on Text,"consider moving this to after ""environmental processes"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,45,2026-03-02 07:52:10,highlight,Comment on Text,"Not sure the wording here is as accurate as it could be. Perhaps ""to guide phenological shifts""?"
SOE2026_MAFMC_IR_Final_commented.xfdf,Paul Nitschke,46,2026-02-26 15:27:21,highlight,Comment on Text,"I think this paragraph could be a little more specific on the risks to setting catch limits. I think the risks to setting catch limits are higher if we are relying on longer term projections (> 3 years) along with the higher risk associated with the estimated Bmsy BRPs. Short term projections tend to better account for these effects through the inclusion of updated data inputs (changes in mean weights at age, selectivity, etc) and though updating the same associated effects on Fmsy regardless of whether these effects are environmentally driven or more due to fishing."
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,46,2026-03-02 07:55:35,caret,Inserted Text,effects on stocks are not well understood
SOE2026_MAFMC_IR_Final_commented.xfdf,Paul Nitschke,47,2026-02-27 12:48:39,highlight,Comment on Text,It is not completely clear to me how the  the small fish per large fish survey biomass anomaly were defined or developed. Were the length based conversions used for some of these stocks which could have an effect on the results? The bottom trawl survey does not produce reliable information for tilefish and probably should be remove since so few fish are caught in the survey.
SOE2026_MAFMC_IR_Final_commented.xfdf,Paul Nitschke,49,2026-02-27 12:51:14,highlight,Comment on Text,"I think fish productivity and condition could also be potentially affected by overfishing. Perhaps, fishing effects is not meant to be part of this report but I think it can sometimes be difficult to disentangle fishing effects from environment effects."
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,49,2026-03-02 08:00:31,text,Sticky Note,figure quality
SOE2026_MAFMC_IR_Final_commented.xfdf,Paul Nitschke,50,2026-02-24 16:37:40,highlight,Comment on Text,Wondering if it is a little miss-leading to plot the purple line on this plot? The trend seem to be driven by the first 6 data point in the the 1980s. There doesn't seem to be much of a trend after 1987 from eyeballing this.
SOE2026_MAFMC_IR_Final_commented.xfdf,Harvey Walsh,52,2026-02-27 15:50:21,highlight,Comment on Text,Suggest adding that C. finmarchicus is the large taxon and C. typicus and Pseudocalanus spp. are the small taxa.
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,54,2026-03-02 08:06:07,caret,Inserted Text,","
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,55,2026-03-02 08:06:38,highlight,Comment on Text,trend lines
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,55,2026-03-02 08:07:48,caret,Inserted Text,l
SOE2026_MAFMC_IR_Final_commented.xfdf,Amanda Hart,55,2026-03-02 14:56:50,highlight,Comment on Text,"coloring is difficult to distinguish beneath purple trends, figure caption doesn't define what purple line represents nor why there are 2"
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,56,2026-03-02 08:09:28,caret,Inserted Text,predators
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,56,2026-03-02 08:11:09,highlight,Comment on Text,"managed fishes also act as predators on other managed fishes (e.g., black sea bass)"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,57,2026-02-23 18:01:19,highlight,Comment on Text,"Do you just mean both councils, or each council respectively?"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,59,2026-02-23 18:06:23,highlight,Comment on Text,I don't see this figure referenced anywhere and its a little confusing to have year as a factor and on the x axis. Consider removing or explaining in a paragraph?
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,59,2026-02-23 18:08:44,highlight,Comment on Text,"You might not need this clause and the previous paragraph, its redundant, no?"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,59,2026-02-23 18:09:21,highlight,Comment on Text,"delete. Or add ""fisheries"" after summer flounder"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,59,2026-02-23 18:10:43,highlight,Comment on Text,"You might want to define indicator somewhere? Or at least say, we want to quantify the influence of offshore wind on fisheries and ecosystems and we'll do so by having a set of indicators"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,60,2026-02-24 11:58:05,highlight,Comment on Text,"Consider restructuring this so its more ""parallel"" and you list the species the same way twice. Or just delete the first part of the sentence, because its redundant"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,61,2026-02-24 12:04:50,highlight,Comment on Text,Where is the green? Am I colorblind?
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,61,2026-02-24 12:05:48,text,Sticky Note,Very curious about these demographic and gentrification concerns. Can you add something in the text explaining what these are and how they were calculated?
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,62,2026-02-24 12:11:22,highlight,Comment on Text,"I'm pretty confused how this sentence is describing figure 62 when the figure looks like revenue, none of which get near 50%, and the sentence is talking about landings?"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,62,2026-02-24 12:12:10,highlight,Comment on Text,"Here you have a green color on the legend in the figure, but not described in the figure caption, nor in the plot anywhere I can tell"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,62,2026-02-24 12:14:00,highlight,Comment on Text,"Could say ""exacerbation of existing venerabilities"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,62,2026-03-02 08:16:50,highlight,Comment on Text,this one is missing reference to all leases (green)
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,63,2026-02-24 12:17:44,highlight,Comment on Text,Additional space before (
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,63,2026-02-24 12:22:17,highlight,Comment on Text,"Consider deleting ""historic""."
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,64,2026-02-24 13:44:45,highlight,Comment on Text,"Suggest changing to ""and"" just so you don't have the repeat of ""are"" twice in the sentence"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,64,2026-02-24 15:44:20,highlight,Comment on Text,"maybe ""could compete with or benefit..."""
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,65,2026-02-19 11:34:14,highlight,Comment on Text,"Unclear.  I assume this is referring to salinity?  If so, would it be helpful to add a figure?"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,65,2026-02-24 15:52:52,highlight,Comment on Text,Are these figure numbers in this section correct?
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,65,2026-02-24 15:53:30,highlight,Comment on Text,Figure doesn't exist?
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,66,2026-02-24 15:56:59,highlight,Comment on Text,"Are these the only two sources? If so, I'd expect these lines to be mirrors of each other. And since they're not, I'm curious what the other source is. And what the magnitude of the contributions actually are, if that's possible to measure"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,66,2026-02-24 15:58:52,highlight,Comment on Text,"Should be ""of"" total production? Otherwise should be something like ""contributes a significant proportion to..."""
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,67,2026-02-19 11:39:38,highlight,Comment on Text,"Unclear, suggest rewording"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,67,2026-02-24 17:30:52,highlight,Comment on Text,"I'd suggest changing this format. The dashes are confusing, I assume they are M dashes that split out clauses but then they aren't. Maybe replace with numbers or put these on individual lines"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,68,2026-02-24 17:36:08,highlight,Comment on Text,Sure?
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,68,2026-02-24 17:39:12,highlight,Comment on Text,striped bass what? Recruitment? Abundance?
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,68,2026-02-24 17:40:00,highlight,Comment on Text,extra space needed?
